sample_id,dataset,source_url,license,license_url,class_name,model,model_code,rotation_code,x_code,y_code,capture_serial,condition_group_id,source_split,yolo_split,physical_item_group,source_relative_path,sha256,width,height,bbox_left,bbox_top,bbox_width,bbox_height,angle_deg,top_bottom_ratio
micro_pcb_v2_AAAA1,micro_pcb_images,https://www.kaggle.com/datasets/frettapper/micropcb-images,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,raspberry_pi_sbc,raspberry_pi_a_plus,A,A,A,A,1,AAAA,train,train,NOT_VERIFIED,train_coded/train_coded/AAAA1.jpg,f349d5f65da9d0e4560ba5b607547dfe61f0ed6924f637f398575cc17508f7a2,1956,1982,247,171,1457,1647,25.00529823,1.058857707
micro_pcb_v2_AAAA2,micro_pcb_images,https://www.kaggle.com/datasets/frettapper/micropcb-images,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,raspberry_pi_sbc,raspberry_pi_a_plus,A,A,A,A,2,AAAA,train,train,NOT_VERIFIED,train_coded/train_coded/AAAA2.jpg,70652d187202dc1a6015b167777adf469f392513a32c93cdb7fb200ead8ff7e1,1942,1976,247,167,1446,1645,24.64096417,1.057212487
micro_pcb_v2_AAAA3,micro_pcb_images,https://www.kaggle.com/datasets/frettapper/micropcb-images,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,raspberry_pi_sbc,raspberry_pi_a_plus,A,A,A,A,3,AAAA,train,train,NOT_VERIFIED,train_coded/train_coded/AAAA3.jpg,84868b3e15b40f97c56298016ea5b105f4ccb99bc24c309e26248aed49545f1b,1947,1974,247,170,1453,1641,24.89995592,1.061176209
micro_pcb_v2_AAAA4,micro_pcb_images,https://www.kaggle.com/datasets/frettapper/micropcb-images,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,raspberry_pi_sbc,raspberry_pi_a_plus,A,A,A,A,4,AAAA,train,train,NOT_VERIFIED,train_coded/train_coded/AAAA4.jpg,e66c08077c86396821351fc907891bd7ad308c673912d9f6972081e871cd1ae6,1961,1972,246,166,1461,1642,25.291036,1.059478956
micro_pcb_v2_AAAB1,micro_pcb_images,https://www.kaggle.com/datasets/frettapper/micropcb-images,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,raspberry_pi_sbc,raspberry_pi_a_plus,A,A,A,B,1,AAAB,train,train,NOT_VERIFIED,train_coded/train_coded/AAAB1.jpg,def5c876b4aae569289b59195eab29caf2b658af0176877c8011030433380ff1,2070,2343,247,172,1572,2007,22.86543444,1.014727181
micro_pcb_v2_AAAB2,micro_pcb_images,https://www.kaggle.com/datasets/frettapper/micropcb-images,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,raspberry_pi_sbc,raspberry_pi_a_plus,A,A,A,B,2,AAAB,train,train,NOT_VERIFIED,train_coded/train_coded/AAAB2.jpg,f58755a36a261eeebb838961579913a20697505564826165aabf87abb82f874f,2051,2338,246,173,1553,2002,22.21100527,1.017698465
micro_pcb_v2_AAAB3,micro_pcb_images,https://www.kaggle.com/datasets/frettapper/micropcb-images,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,raspberry_pi_sbc,raspberry_pi_a_plus,A,A,A,B,3,AAAB,train,train,NOT_VERIFIED,train_coded/train_coded/AAAB3.jpg,2de8fa8ea381820a42d48ecfb171d9254bb6f0d5af0f843aabb87e2e03d9c9d0,2051,2332,247,176,1554,1993,22.49238309,1.036640892
micro_pcb_v2_AAAB4,micro_pcb_images,https://www.kaggle.com/datasets/frettapper/micropcb-images,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,raspberry_pi_sbc,raspberry_pi_a_plus,A,A,A,B,4,AAAB,train,train,NOT_VERIFIED,train_coded/train_coded/AAAB4.jpg,b290289de3012ebd6b6219eb94c503fd4c035ddf35f0f1ee1c9d10af481450e2,2058,2332,247,172,1555,1996,22.56696122,1.02878627
micro_pcb_v2_AAAC1,micro_pcb_images,https://www.kaggle.com/datasets/frettapper/micropcb-images,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,raspberry_pi_sbc,raspberry_pi_a_plus,A,A,A,C,1,AAAC,train,train,NOT_VERIFIED,train_coded/train_coded/AAAC1.jpg,418b2c01afe2501c60b01717a075a10a54ba4b2d56a58274a7a4569ef7d96916,2050,2830,246,164,1542,2502,13.3927349,0.905312262
micro_pcb_v2_AAAC2,micro_pcb_images,https://www.kaggle.com/datasets/frettapper/micropcb-images,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,raspberry_pi_sbc,raspberry_pi_a_plus,A,A,A,C,2,AAAC,train,train,NOT_VERIFIED,train_coded/train_coded/AAAC2.jpg,89aff7ed7620f73fa07285cdeab8c12a08c17782845283d85cc6f038291e2645,2053,2828,247,163,1544,2502,13.48465844,0.90148417
