epoch,elapsed_s,train_total_loss,train_box_loss,train_iou_loss,train_conf_loss,train_cls_loss,train_dfl_loss,train_l1_loss,val_box_loss,val_cls_loss,val_dfl_loss,precision,recall,map50,map50_95,lr,train_peak_allocated_mib,train_peak_reserved_mib,gpu_peak_allocated_mib,gpu_peak_reserved_mib
1,113.04169011116028,,0.5060994029045105,,,0.6296430230140686,1.179030179977417,,0.46911,0.5602,1.25945,1.0,0.99969,0.995,0.91391,0.0033156028368794325,4010.47802734375,4224.0,4010.47802734375,4224.0
2,214.6290740966797,,0.4508320391178131,,,0.3641614615917206,1.0645473003387451,,0.36029,0.332,1.07279,0.99969,1.0,0.995,0.95319,0.00658311170212766,3998.04443359375,4094.0,3998.04443359375,4094.0
3,314.8058776855469,,0.5298150777816772,,,0.4393578767776489,1.0978670120239258,,0.97234,1.15653,1.93939,0.91081,1.0,0.995,0.66344,0.009784620567375887,4000.35693359375,4098.0,4000.35693359375,4098.0
4,415.1583728790283,,0.5626510381698608,,,0.4251016080379486,1.1251462697982788,,0.41493,0.47143,1.1129,0.99534,1.0,0.995,0.9354,0.009703,4005.04443359375,4056.0,4005.04443359375,4056.0
5,514.4429562091827,,0.5365449786186218,,,0.37432506680488586,1.1099693775177002,,3.06137,1.52328,6.9059,0.87526,0.7641,0.85819,0.13939,0.009604,3999.23193359375,4056.0,3999.23193359375,4056.0
6,615.060308933258,,0.5130107402801514,,,0.3629612922668457,1.0835474729537964,,0.33765,0.27889,1.02314,0.9997,1.0,0.995,0.9536,0.009505,3999.23193359375,4056.0,3999.23193359375,4056.0
7,716.184709072113,,0.4886901378631592,,,0.34825393557548523,1.0612949132919312,,0.30654,0.26513,0.9989,0.99961,1.0,0.995,0.97175,0.009406,3999.23193359375,4056.0,3999.23193359375,4056.0
8,816.7975375652313,,0.4587438702583313,,,0.32956308126449585,1.0406962633132935,,0.23156,0.20407,0.91973,0.99971,1.0,0.995,0.98441,0.009307,3999.23193359375,4056.0,3999.23193359375,4056.0
9,917.4225032329559,,0.44591933488845825,,,0.32120105624198914,1.033006191253662,,0.25568,0.22303,0.94552,0.99968,1.0,0.995,0.99021,0.009208000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
10,1017.8848674297333,,0.4182935059070587,,,0.3073326349258423,1.0187116861343384,,1.08506,0.50976,2.90529,0.99485,1.0,0.995,0.6376,0.009109,3999.23193359375,4056.0,3999.23193359375,4056.0
11,1118.2774331569672,,0.41004371643066406,,,0.2941385805606842,1.017284631729126,,0.24525,0.20058,0.92889,0.99969,1.0,0.995,0.98205,0.00901,3999.23193359375,4056.0,3999.23193359375,4056.0
12,1218.409838438034,,0.3842213749885559,,,0.27789631485939026,1.0031847953796387,,0.22448,0.19013,0.91632,0.99965,1.0,0.995,0.98895,0.008911,3999.23193359375,4056.0,3999.23193359375,4056.0
13,1319.1979460716248,,0.3770449757575989,,,0.2841792404651642,0.9971305131912231,,0.20468,0.18425,0.91541,0.9997,1.0,0.995,0.99083,0.008812,3999.23193359375,4056.0,3999.23193359375,4056.0
14,1419.6485524177551,,0.37878963351249695,,,0.2805763781070709,1.0026664733886719,,0.22689,0.19469,0.92375,0.99958,1.0,0.995,0.98806,0.008713,3999.23193359375,4056.0,3999.23193359375,4056.0
15,1519.3352389335632,,0.3680485486984253,,,0.2723888158798218,0.9976242780685425,,0.20649,0.17811,0.91781,0.99972,1.0,0.995,0.99083,0.008614,3999.23193359375,4056.0,3999.23193359375,4056.0
16,1620.3659150600433,,0.3520163297653198,,,0.25980669260025024,0.981332540512085,,0.19509,0.1747,0.89412,0.99972,1.0,0.995,0.98882,0.008515,3999.23193359375,4056.0,3999.23193359375,4056.0
17,1721.1334207057953,,0.34385401010513306,,,0.2624571919441223,0.9789036512374878,,0.46726,0.3036,1.26034,0.99972,1.0,0.995,0.87396,0.008416,3999.23193359375,4056.0,3999.23193359375,4056.0
18,1822.0452427864075,,0.3301093578338623,,,0.24617086350917816,0.9667266607284546,,0.20765,0.16291,0.90827,0.99972,1.0,0.995,0.99361,0.008317,3999.23193359375,4056.0,3999.23193359375,4056.0
19,1922.1069996356964,,0.32319921255111694,,,0.2455682009458542,0.9713636636734009,,0.18729,0.14687,0.89081,0.99972,1.0,0.995,0.99258,0.008218000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
20,2022.8939726352692,,0.3233793079853058,,,0.24326971173286438,0.9724355340003967,,0.16331,0.17161,0.87646,0.99969,1.0,0.995,0.99379,0.008119000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
21,2123.614260196686,,0.3102824091911316,,,0.23641057312488556,0.9680230021476746,,0.19203,0.15226,0.90023,0.99972,1.0,0.995,0.99216,0.008020000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
22,2223.692045211792,,0.3070050776004791,,,0.23275433480739594,0.9661571979522705,,0.18741,0.14232,0.8897,0.99972,1.0,0.995,0.98422,0.007921000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
23,2324.6526448726654,,0.3006281554698944,,,0.22693729400634766,0.9611660838127136,,0.182,0.14931,0.8865,0.99967,1.0,0.995,0.99484,0.007822,3999.23193359375,4056.0,3999.23193359375,4056.0
24,2424.871645927429,,0.30055901408195496,,,0.22804604470729828,0.9581535458564758,,0.16964,0.1598,0.87998,0.99965,1.0,0.995,0.99322,0.007723,3999.23193359375,4056.0,3999.23193359375,4056.0
25,2525.4505491256714,,0.29192063212394714,,,0.22363032400608063,0.9553824067115784,,0.16033,0.16927,0.88006,0.99971,1.0,0.995,0.99384,0.007624,3999.23193359375,4056.0,3999.23193359375,4056.0
