epoch,elapsed_s,train_total_loss,train_box_loss,train_iou_loss,train_conf_loss,train_cls_loss,train_dfl_loss,train_l1_loss,val_box_loss,val_cls_loss,val_dfl_loss,precision,recall,map50,map50_95,lr,train_peak_allocated_mib,train_peak_reserved_mib,gpu_peak_allocated_mib,gpu_peak_reserved_mib
1,112.23454689979553,,0.4956548511981964,,,0.5919303894042969,1.1769402027130127,,0.35272,0.36232,1.05485,0.99963,1.0,0.995,0.94174,0.0033156028368794325,4010.47802734375,4224.0,4010.47802734375,4224.0
2,213.18491458892822,,0.4522969424724579,,,0.3692193329334259,1.074686884880066,,0.33701,0.3222,1.05295,0.9996,1.0,0.995,0.97254,0.00658311170212766,3998.04443359375,4094.0,3998.04443359375,4094.0
3,314.66101145744324,,0.5452611446380615,,,0.4404109716415405,1.119668960571289,,0.54079,0.43672,1.3676,0.99924,1.0,0.995,0.8966,0.009784620567375887,4000.35693359375,4098.0,4000.35693359375,4098.0
4,416.6587104797363,,0.5749885439872742,,,0.41620877385139465,1.1321682929992676,,0.40016,0.33746,1.08191,0.99964,1.0,0.995,0.92801,0.009703,4005.04443359375,4056.0,4005.04443359375,4056.0
5,517.6973450183868,,0.5472924113273621,,,0.388467013835907,1.1018589735031128,,0.3274,0.25797,1.00917,0.99966,1.0,0.995,0.94057,0.009604,3999.23193359375,4056.0,3999.23193359375,4056.0
6,616.328574180603,,0.5103589296340942,,,0.36000412702560425,1.0848524570465088,,0.34767,0.33092,1.02417,0.99921,1.0,0.995,0.95841,0.009505,3999.23193359375,4056.0,3999.23193359375,4056.0
7,712.9483816623688,,0.48044589161872864,,,0.34727221727371216,1.0578514337539673,,2.19856,0.9589,5.35258,0.98883,1.0,0.9947,0.30621,0.009406,3999.23193359375,4056.0,3999.23193359375,4056.0
8,810.6984972953796,,0.4565671682357788,,,0.33156242966651917,1.0482999086380005,,0.25739,0.2356,0.94445,0.99971,1.0,0.995,0.983,0.009307,3999.23193359375,4056.0,3999.23193359375,4056.0
9,909.4492406845093,,0.43823471665382385,,,0.3232229948043823,1.0305557250976562,,0.24398,0.20891,0.93534,0.99966,1.0,0.995,0.96822,0.009208000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
10,1008.0332410335541,,0.4103732705116272,,,0.29893001914024353,1.0187721252441406,,3.09618,1.04961,8.28935,0.95898,0.97949,0.95486,0.18272,0.009109,3999.23193359375,4056.0,3999.23193359375,4056.0
11,1105.166226863861,,0.39536288380622864,,,0.2967437207698822,1.0071719884872437,,0.25225,0.20553,0.93586,0.99971,1.0,0.995,0.98679,0.00901,3999.23193359375,4056.0,3999.23193359375,4056.0
12,1203.911556482315,,0.3898178040981293,,,0.293184369802475,1.0000122785568237,,0.22753,0.19671,0.91795,0.9997,1.0,0.995,0.98144,0.008911,3999.23193359375,4056.0,3999.23193359375,4056.0
13,1301.0340123176575,,0.3812393248081207,,,0.28358757495880127,0.9971604347229004,,0.21305,0.18367,0.90229,0.99972,1.0,0.995,0.99339,0.008812,3999.23193359375,4056.0,3999.23193359375,4056.0
14,1399.1540033817291,,0.37318673729896545,,,0.2737744152545929,0.9937596321105957,,0.21971,0.20725,0.9112,0.99965,1.0,0.995,0.98181,0.008713,3999.23193359375,4056.0,3999.23193359375,4056.0
15,1495.2686777114868,,0.3534507751464844,,,0.27246883511543274,0.9897605776786804,,0.74654,0.5331,1.52932,0.99969,1.0,0.995,0.76939,0.008614,3999.23193359375,4056.0,3999.23193359375,4056.0
16,1592.105444431305,,0.35050609707832336,,,0.26634764671325684,0.9805680513381958,,0.23662,0.18248,0.92788,0.99973,1.0,0.995,0.98016,0.008515,3999.23193359375,4056.0,3999.23193359375,4056.0
17,1688.8574724197388,,0.34565186500549316,,,0.26437005400657654,0.983637809753418,,0.22461,0.18832,0.90859,0.99969,1.0,0.995,0.98335,0.008416,3999.23193359375,4056.0,3999.23193359375,4056.0
18,1786.1570053100586,,0.34227967262268066,,,0.25927722454071045,0.9810134768486023,,0.1875,0.20319,0.88822,0.99969,1.0,0.995,0.99334,0.008317,3999.23193359375,4056.0,3999.23193359375,4056.0
19,1882.4465494155884,,0.32970550656318665,,,0.24428628385066986,0.9772685170173645,,0.19161,0.16941,0.89642,0.99867,1.0,0.995,0.991,0.008218000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
20,1979.3949925899506,,0.31986305117607117,,,0.23840144276618958,0.9673417210578918,,0.17795,0.16019,0.88668,0.99971,1.0,0.995,0.99385,0.008119000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
21,2078.1452674865723,,0.31507882475852966,,,0.24111957848072052,0.9661223888397217,,0.17832,0.15032,0.88062,0.99868,1.0,0.995,0.99356,0.008020000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
22,2175.315359354019,,0.30773359537124634,,,0.2353833168745041,0.9589133858680725,,0.1744,0.16297,0.88254,0.99972,1.0,0.995,0.99499,0.007921000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
23,2273.4923329353333,,0.3051186501979828,,,0.23583778738975525,0.9656417965888977,,0.17163,0.1674,0.88801,0.99971,1.0,0.995,0.99285,0.007822,3999.23193359375,4056.0,3999.23193359375,4056.0
24,2370.32844042778,,0.2985079288482666,,,0.23317019641399384,0.9577098488807678,,0.1729,0.14887,0.8848,0.99973,1.0,0.995,0.99169,0.007723,3999.23193359375,4056.0,3999.23193359375,4056.0
25,2466.588835954666,,0.2969319224357605,,,0.22739896178245544,0.9586360454559326,,0.27027,0.21295,0.97715,0.99972,1.0,0.995,0.98054,0.007624,3999.23193359375,4056.0,3999.23193359375,4056.0
26,2564.0154848098755,,0.2928483188152313,,,0.2204871028661728,0.9568370580673218,,0.16077,0.14003,0.88008,0.99968,1.0,0.995,0.99142,0.007525,3999.23193359375,4056.0,3999.23193359375,4056.0
27,2661.4437227249146,,0.28536364436149597,,,0.22053298354148865,0.9547591209411621,,0.17068,0.13853,0.88214,0.99967,1.0,0.995,0.99092,0.007426,3999.23193359375,4056.0,3999.23193359375,4056.0
28,2758.9287116527557,,0.28273633122444153,,,0.21455232799053192,0.9516023993492126,,0.18067,0.14828,0.88654,0.99971,1.0,0.995,0.99258,0.007327,3999.23193359375,4056.0,3999.23193359375,4056.0
29,2856.161391735077,,0.27802202105522156,,,0.211931973695755,0.9537686705589294,,0.15955,0.14302,0.87161,0.99972,1.0,0.995,0.99451,0.007228,3999.23193359375,4056.0,3999.23193359375,4056.0
30,2952.8969123363495,,0.27434125542640686,,,0.21651987731456757,0.9492796063423157,,0.15534,0.14457,0.8729,0.99972,1.0,0.995,0.99248,0.007129,3999.23193359375,4056.0,3999.23193359375,4056.0
31,3049.6128783226013,,0.26627829670906067,,,0.21254532039165497,0.944480299949646,,0.13286,0.12624,0.86753,0.99971,1.0,0.995,0.99157,0.00703,3999.23193359375,4056.0,3999.23193359375,4056.0
32,3145.5286910533905,,0.2623198330402374,,,0.20137378573417664,0.9391860961914062,,0.15234,0.12662,0.8676,0.99972,1.0,0.995,0.99346,0.006931,3999.23193359375,4056.0,3999.23193359375,4056.0
33,3242.1832869052887,,0.2570565640926361,,,0.206110417842865,0.9381788372993469,,0.15135,0.12871,0.86987,0.99972,1.0,0.995,0.9931,0.0068319999999999995,3999.23193359375,4056.0,3999.23193359375,4056.0
34,3338.761087179184,,0.25269001722335815,,,0.1993330866098404,0.9439651370048523,,0.15138,0.12573,0.87048,0.9997,1.0,0.995,0.99363,0.006732999999999999,3999.23193359375,4056.0,3999.23193359375,4056.0
35,3435.525066137314,,0.25325560569763184,,,0.19359511137008667,0.9326409101486206,,0.14309,0.11358,0.86724,0.99973,1.0,0.995,0.99358,0.006633999999999999,3999.23193359375,4056.0,3999.23193359375,4056.0
36,3532.0425355434418,,0.24469870328903198,,,0.19333772361278534,0.9378130435943604,,0.15593,0.11998,0.87528,0.99973,1.0,0.995,0.99233,0.006535,3999.23193359375,4056.0,3999.23193359375,4056.0
37,3628.073754787445,,0.24473366141319275,,,0.19382870197296143,0.9325326681137085,,0.17426,0.12817,0.88361,0.99972,1.0,0.995,0.98936,0.006436000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
38,3726.7078063488007,,0.24692146480083466,,,0.1914859116077423,0.9291770458221436,,0.14164,0.12224,0.8626,0.99973,1.0,0.995,0.99475,0.006337000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
39,3824.8840494155884,,0.2418886423110962,,,0.1916169822216034,0.9316344261169434,,0.14167,0.12464,0.85921,0.99969,1.0,0.995,0.99467,0.0062380000000000005,3999.23193359375,4056.0,3999.23193359375,4056.0
40,3922.437918663025,,0.23565781116485596,,,0.18561561405658722,0.9305855631828308,,0.1427,0.12947,0.86501,0.99971,1.0,0.995,0.99313,0.006139,3999.23193359375,4056.0,3999.23193359375,4056.0
41,4019.058994293213,,0.23499171435832977,,,0.18898209929466248,0.9328786730766296,,0.15774,0.13842,0.87112,0.99972,1.0,0.995,0.99451,0.00604,3999.23193359375,4056.0,3999.23193359375,4056.0
42,4121.604578733444,,0.23290546238422394,,,0.18394796550273895,0.9298974275588989,,0.12878,0.12658,0.8527,0.99972,1.0,0.995,0.99496,0.005941000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
43,4226.344051361084,,0.23479820787906647,,,0.18682578206062317,0.9307635426521301,,0.13753,0.1241,0.8648,0.99972,1.0,0.995,0.99346,0.005842000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
44,4323.221958637238,,0.23165464401245117,,,0.18473151326179504,0.9328479170799255,,0.14156,0.11366,0.86542,0.99973,1.0,0.995,0.9934,0.005743000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
45,4420.61864233017,,0.2212284654378891,,,0.17579112946987152,0.9197701215744019,,0.12883,0.12064,0.85944,0.99971,1.0,0.995,0.99345,0.005644000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
46,4519.699866056442,,0.22289136052131653,,,0.17858797311782837,0.9279853701591492,,0.13357,0.12559,0.86362,0.99972,1.0,0.995,0.99466,0.0055450000000000004,3999.23193359375,4056.0,3999.23193359375,4056.0
47,4616.9615223407745,,0.22247116267681122,,,0.17649617791175842,0.9235605597496033,,0.1234,0.11316,0.85255,0.99973,1.0,0.995,0.99495,0.005446000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
48,4714.766454696655,,0.21540679037570953,,,0.17639940977096558,0.9258695840835571,,0.121,0.11649,0.85706,0.99973,1.0,0.995,0.99489,0.005347000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
49,4813.241894245148,,0.22073842585086823,,,0.17536096274852753,0.9260097146034241,,0.1233,0.1215,0.85919,0.99973,1.0,0.995,0.9948,0.005248000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
50,4912.642384767532,,0.21712906658649445,,,0.17124751210212708,0.9245448708534241,,0.13038,0.10803,0.85755,0.99973,1.0,0.995,0.99382,0.005149,3999.23193359375,4056.0,3999.23193359375,4056.0
51,5010.291617155075,,0.21389974653720856,,,0.17030851542949677,0.922441303730011,,0.1302,0.11537,0.85359,0.99973,1.0,0.995,0.99477,0.00505,3999.23193359375,4056.0,3999.23193359375,4056.0
52,5108.989803791046,,0.2098354548215866,,,0.17172366380691528,0.9163987040519714,,0.11907,0.10525,0.84849,1.0,1.0,0.995,0.99375,0.004951,3999.23193359375,4056.0,3999.23193359375,4056.0
53,5207.041637659073,,0.20608970522880554,,,0.16670939326286316,0.9164475202560425,,0.1196,0.10073,0.84922,0.99973,1.0,0.995,0.99475,0.0048519999999999995,3999.23193359375,4056.0,3999.23193359375,4056.0
54,5305.906827688217,,0.20031604170799255,,,0.1629406213760376,0.9119147062301636,,0.11877,0.11206,0.84946,1.0,1.0,0.995,0.99353,0.004753,3999.23193359375,4056.0,3999.23193359375,4056.0
55,5404.43868637085,,0.20315828919410706,,,0.1640821397304535,0.9165443181991577,,0.14976,0.1175,0.86504,0.9996,1.0,0.995,0.99339,0.004654,3999.23193359375,4056.0,3999.23193359375,4056.0
56,5503.557027339935,,0.19830751419067383,,,0.1599617451429367,0.9122107028961182,,0.12948,0.10251,0.85511,0.99972,1.0,0.995,0.99471,0.004555,3999.23193359375,4056.0,3999.23193359375,4056.0
57,5601.138590097427,,0.20286022126674652,,,0.1634025275707245,0.9176011085510254,,0.13452,0.10208,0.85577,0.99973,1.0,0.995,0.99211,0.004456,3999.23193359375,4056.0,3999.23193359375,4056.0
58,5699.817191123962,,0.19832296669483185,,,0.16025222837924957,0.912584125995636,,0.0962,0.08643,0.84592,0.99973,1.0,0.995,0.99301,0.004357000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
59,5799.083860397339,,0.1908695101737976,,,0.15676648914813995,0.9069827795028687,,0.11717,0.09741,0.85048,0.99973,1.0,0.995,0.99459,0.0042580000000000005,3999.23193359375,4056.0,3999.23193359375,4056.0
60,5898.072336196899,,0.1902032345533371,,,0.15187574923038483,0.9102474451065063,,0.13739,0.11376,0.86613,0.99972,1.0,0.995,0.99276,0.004159,3999.23193359375,4056.0,3999.23193359375,4056.0
61,5997.222584486008,,0.19310979545116425,,,0.1560737043619156,0.9160777926445007,,0.10606,0.09117,0.84655,0.99972,1.0,0.995,0.99468,0.00406,3999.23193359375,4056.0,3999.23193359375,4056.0
62,6095.615988492966,,0.1870664805173874,,,0.15177442133426666,0.9122095704078674,,0.11054,0.09893,0.84658,0.99959,1.0,0.995,0.99498,0.003961,3999.23193359375,4056.0,3999.23193359375,4056.0
63,6194.218571662903,,0.18436162173748016,,,0.1501619815826416,0.9045945405960083,,0.12304,0.10123,0.85322,0.99973,1.0,0.995,0.995,0.003862,3999.23193359375,4056.0,3999.23193359375,4056.0
64,6293.261803388596,,0.17853698134422302,,,0.14594972133636475,0.9077144265174866,,0.11213,0.08763,0.84897,0.99973,1.0,0.995,0.99362,0.0037630000000000003,3999.23193359375,4056.0,3999.23193359375,4056.0
65,6391.987959623337,,0.17784076929092407,,,0.1458580046892166,0.9098693132400513,,0.13197,0.10034,0.85702,0.99973,1.0,0.995,0.9921,0.003664,3999.23193359375,4056.0,3999.23193359375,4056.0
